model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
dlinear,etth1,HUFL,24,44,3.0807397068887394,4.633125347284008,47.87140734006066,30.488742972842253,21.46585048364556,10.625879797004018,38.94110459987132,16176,26.24951171875
dlinear,etth1,HUFL,24,45,3.080310521551914,4.627862744833843,47.926674659296644,30.48449551195066,21.417113585021028,10.345097823003016,39.644632899944554,16176,26.25
dlinear,etth1,HUFL,24,46,3.0881356705911474,4.626305033903419,48.11357528211675,30.561937613679635,21.40269826672011,10.457257976995606,38.41524320014287,16176,26.25
dlinear,etth1,HUFL,96,42,3.551065618979168,5.2644315523522,54.130574606212114,35.109349004800656,27.714239569401393,9.784998844999791,38.22411799992551,64704,29.771484375
dlinear,etth1,HUFL,96,43,3.5451349848299967,5.255605355007144,54.05030360934072,35.050712886377454,27.621387647579763,10.29432860599627,39.15391430018644,64704,29.77197265625
dlinear,etth1,HUFL,96,44,3.546264600700215,5.251736508487594,54.208583764182116,35.06188138678953,27.580736354581468,9.536564136007655,39.95792230016377,64704,29.77197265625
dlinear,etth1,HUFL,96,45,3.54853104222414,5.26625169632321,54.01795781714712,35.084289670668355,27.733406929027087,9.65380357700269,37.851311300255475,64704,29.77197265625
dlinear,etth1,HUFL,96,46,3.549572527120858,5.2595649232267085,54.126336236168015,35.094586821057995,27.663023181636774,10.227794333997736,41.28400570007216,64704,29.771484375
dlinear,etth1,HUFL,168,42,3.7039989359589014,5.4302050603215495,56.53407527808182,36.56165442650101,29.487126997141765,10.659122834997106,40.77781949999917,113232,32.60888671875
dlinear,etth1,HUFL,168,43,3.698545894917034,5.420175919162459,56.43058820816409,36.50782822255403,29.37830699466861,10.071860722997371,40.040490699902875,113232,32.60888671875
dlinear,etth1,HUFL,168,44,3.701130497429672,5.4190212674341645,56.54088859231891,36.53334047175571,29.365791496903782,10.19657190200087,42.34296769973298,113232,32.60888671875
dlinear,etth1,HUFL,168,45,3.7009980387138195,5.431694999460277,56.3722975016758,36.53203299033401,29.50331056716177,9.72528467200027,40.01103080008761,113232,32.609375
dlinear,etth1,HUFL,168,46,3.7027921473349363,5.424182547702274,56.55327842845048,36.54974238511058,29.421756310797928,9.81981046299552,40.3867173998151,113232,32.609375
patchtst,etth1,HUFL,24,42,3.043303300500457,4.549860901352895,47.60727586091334,30.118251116731525,20.701234221659778,40.43258395899829,39.97205239975301,168280,608.3154296875
patchtst,etth1,HUFL,24,43,3.0370371670880507,4.5546076217700735,47.48543484524539,30.05623791561064,20.744450588286043,40.53213918799884,39.781008700083476,168280,608.3154296875
patchtst,etth1,HUFL,24,44,3.0394445200707167,4.551707312876949,47.53577178470875,30.08006244261281,20.718039462097494,40.62932210999861,41.00468859978719,168280,608.3154296875
patchtst,etth1,HUFL,24,45,3.0558497551594015,4.571836082058494,47.573632061422735,30.242417929806205,20.901685161211955,39.04187570200156,38.57111270008318,168280,608.3154296875
patchtst,etth1,HUFL,24,46,3.0243386204001554,4.548871827550509,47.16004331046454,29.930565913776096,20.69223490348271,38.464608792000945,36.174494000078994,168280,608.3154296875
patchtst,etth1,HUFL,96,42,3.612963171458358,5.2466064880573295,55.13570804379378,35.72132946523484,27.52687964052527,38.50696160699954,41.13325319995056,361888,612.57861328125
patchtst,etth1,HUFL,96,43,3.6235819925267334,5.298312248032274,54.75154118864,35.82631763918368,28.07211267764881,38.88890644999992,40.300808899701224,361888,612.57861328125
patchtst,etth1,HUFL,96,44,3.6664898276911564,5.295785168802293,55.33438338274978,36.250546961158655,28.045340554106335,38.63707222700032,37.65302130013879,361888,612.57861328125
patchtst,etth1,HUFL,96,45,3.5994834331397296,5.273233245808427,54.43271224414698,35.58805543205655,27.80698886469928,38.42768005900507,42.535231500005466,361888,612.57861328125
patchtst,etth1,HUFL,96,46,3.5954476843211225,5.247146816128525,54.69466009280155,35.54815402527575,27.53254971000771,38.52865823599859,38.14300730009563,361888,612.57861328125
patchtst,etth1,HUFL,168,42,3.917071395232881,5.582043591388784,58.62715991532536,38.664862812483754,31.15921065616459,39.11191751399383,41.55901759986591,555496,617.015625
patchtst,etth1,HUFL,168,43,4.008649951586199,5.689362018381188,59.01940277711981,39.5688219086278,32.36884017619847,39.23921843199423,41.970149200278684,555496,617.015625
patchtst,etth1,HUFL,168,44,3.953969426308829,5.625731025226017,58.595130617145344,39.02907810642467,31.64884956819057,38.90132452599573,41.438023499722476,555496,617.015625
patchtst,etth1,HUFL,168,45,3.834698276845679,5.509553135536608,57.24621865283783,37.85176930447322,30.355175753301268,38.98873009300223,44.427140199695714,555496,617.015625
patchtst,etth1,HUFL,168,46,4.018246980241841,5.702585105363962,59.049252518208704,39.66355283358092,32.51947688391891,39.11754825000389,42.568377800125745,555496,617.015625
itransformer,etth1,HUFL,24,42,3.271309057400968,4.8083079598472045,49.40275251903694,32.37472507424367,23.119825436729986,20.034262280001712,38.46624129982956,311448,164.8173828125
itransformer,etth1,HUFL,24,43,3.249792012815636,4.79288521490333,49.227245657659,32.16178022842289,22.971748683238943,20.466374748997623,37.234058900139644,311448,164.8173828125
itransformer,etth1,HUFL,24,44,3.256050130707564,4.799416174623106,49.189285073911456,32.223714103418594,23.03439561723389,20.25869261599655,40.00859539992234,311448,164.8173828125
