model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
xgboost,ecl,aggregate_load,96,42,42400.52909694222,65189.74332226235,4.855737159069622,4.966136611632336,4249702634.422449,22.935421354000027,38.33525680001912,757814,0.0
xgboost,ecl,aggregate_load,96,43,42532.31967804225,65408.49679774688,4.872673494038169,4.981572504622558,4278271453.340864,22.70608932899995,38.59050159999242,757699,0.0
xgboost,ecl,aggregate_load,96,44,42596.88181414769,65474.35611233436,4.878239015018073,4.989134306200678,4286891308.324776,23.803938017999823,43.63473220000742,757862,0.0
xgboost,ecl,aggregate_load,96,45,42556.455748645225,65400.79568163478,4.879805634701159,4.9843994274566645,4277264075.7909374,23.57261388500001,38.97610140002144,758183,0.0
xgboost,ecl,aggregate_load,96,46,42582.50172304055,65459.79771586744,4.881217845307781,4.987450046630178,4284985117.002284,23.694246624999774,38.72882599998775,757374,0.0
chronos_bolt_small,ecl,aggregate_load,168,42,264268.26601323683,315996.9493554541,31.90767379962225,30.30381441849766,99854072001.95345,0.0,45.298837999871466,47718016,381.35791015625
dlinear,ecl,aggregate_load,168,42,43492.86178357266,72328.53289350087,4.694258118256419,5.083124362804757,5231416670.526238,43.64453692999996,60.23647134999237,113232,32.6748046875
dlinear,ecl,aggregate_load,168,43,43422.96387593444,72353.84636137816,4.684771169180786,5.074955211761237,5235079083.285915,57.5565163870001,61.62423674999218,113232,32.6748046875
dlinear,ecl,aggregate_load,168,44,43459.11389290153,72383.46888215878,4.699304309095196,5.079180158670357,5239366567.414448,55.022608797999965,57.48237894999875,113232,32.6748046875
dlinear,ecl,aggregate_load,168,45,43760.03062296227,72493.84673529502,4.749572353599794,5.114349082926452,5255357814.480446,45.93932855599997,58.35732420000568,113232,32.6748046875
dlinear,ecl,aggregate_load,168,46,43632.69139343584,72536.43068998768,4.729315067285196,5.099466614553422,5261533777.243387,49.63398434199985,57.48355204999598,113232,32.6748046875
itransformer,ecl,aggregate_load,168,42,43799.14060877502,71403.87622084688,4.905021192940685,5.118919969126192,5098513539.362022,89.83463112900063,68.65037335001034,330024,165.16796875
itransformer,ecl,aggregate_load,168,43,42925.31455748523,70556.23473299568,4.793579444686708,5.01679363602198,4978182259.697587,75.89084510799967,69.71128185000453,330024,165.16796875
itransformer,ecl,aggregate_load,168,44,43037.88322287508,70314.88701262038,4.787546313844894,5.0299498299827015,4944183335.59757,78.72397256899967,63.78964249997807,330024,165.16796875
itransformer,ecl,aggregate_load,168,45,43266.37831451104,70614.13420303345,4.80937991918879,5.056654648186106,4986355949.244018,84.38380179600063,66.11021159997108,330024,165.16796875
itransformer,ecl,aggregate_load,168,46,42181.1882386117,69419.55011894088,4.680458460333728,4.929825649429318,4819073938.716145,81.2127584430009,59.21344299999873,330024,165.16796875
patchtst,ecl,aggregate_load,168,42,48615.67879086141,76355.26561456361,5.560277323273734,5.681841367574845,5830126587.07056,117.6226135959996,65.03033965000213,555496,617.30859375
patchtst,ecl,aggregate_load,168,43,46544.89184368,75606.67113417332,5.170698596662318,5.439823088028759,5716368719.991037,129.70140046799995,68.36428020001222,555496,617.30859375
patchtst,ecl,aggregate_load,168,44,44747.41978548669,72908.44337391791,4.978189421712937,5.229747833474822,5315641115.207794,143.83336413400002,61.38249860000542,555496,617.30859375
patchtst,ecl,aggregate_load,168,45,49079.64963740999,78531.60765976427,5.471206464062587,5.736066852332736,6167213401.627147,134.05666029299937,65.75578075000976,555496,617.30859375
patchtst,ecl,aggregate_load,168,46,44246.9826673835,71873.82217085353,4.968758360683259,5.171260440308092,5165846313.447475,147.69110732599984,66.8587379499968,555496,617.30859375
sarima,ecl,aggregate_load,168,42,271294.6034166336,325857.77903615014,32.54361371548215,31.10952911109574,106183292158.37248,108.42775585898198,5.517055396921933,0,0.0
seasonal_naive,ecl,aggregate_load,168,42,343510.1715685587,431537.72405627824,40.476061842452026,39.39053540979638,186224807283.6725,3.97850017179735e-05,0.0057655999626149,0,0.0
timesfm,ecl,aggregate_load,168,42,265044.6044587572,313676.27804560063,31.949165656574003,30.39283765437047,98392807408.54095,0.0,200.3501248000248,200000000,896.4013671875
xgboost,ecl,aggregate_load,168,42,48276.71823874359,74472.89569988576,5.404294343077109,5.642226162462023,5546212193.926064,40.839124343000094,71.20763500006433,1327757,0.0
xgboost,ecl,aggregate_load,168,43,48398.53168386336,74670.69107934629,5.423742564566576,5.656462817977741,5575712106.267166,40.84103877999996,68.19029680000313,1327253,0.0
xgboost,ecl,aggregate_load,168,44,48459.79378560826,74749.73990713517,5.424675676357808,5.663622679829227,5587523616.184356,42.10869286099933,73.43937900004676,1327538,0.0
xgboost,ecl,aggregate_load,168,45,48414.96447216167,74705.32601470343,5.421679085200696,5.658383360869667,5580885734.963125,41.20163764799963,73.71727580011793,1327895,0.0
xgboost,ecl,aggregate_load,168,46,48450.22744347938,74723.3806414968,5.4276652833275065,5.662504636436721,5583583614.494018,42.34482185900015,73.41921959996398,1327132,0.0
chronos_bolt_small,etth1,HUFL,24,42,3.0044784405222296,4.780743370609166,44.87599733680831,29.734018338419915,22.855507175623487,0.0,13.483807400189107,47718016,123.3173828125
dlinear,etth1,HUFL,24,42,3.064073521802148,4.619865861085099,47.7310202895875,30.32380497684516,21.343160574419564,44.48248820400113,51.97811225002624,16176,26.25
dlinear,etth1,HUFL,24,43,3.0587734726777205,4.613625441902069,47.6374654348872,30.271352692370492,21.28553971816606,37.52992054100014,42.56314965000456,16176,26.25
dlinear,etth1,HUFL,24,44,3.0730984150929417,4.621384955340316,47.96178462872704,30.41312042640588,21.357198905445816,19.665513965000173,42.33485424997525,16176,26.25
dlinear,etth1,HUFL,24,45,3.064422491371223,4.618691413237296,47.65220617196667,30.32725857711949,21.33231037071193,32.93767935200049,48.75779119997787,16176,26.25
